,Expected Returns,Standard Deviations
0,1.0650699917188868,1.011802168259561
1,1.1288614671176669,1.0431987874777624
2,1.194622352279855,1.0759016739305762
3,1.2624134124087125,1.1099715109294468
4,1.332297286489713,1.1454715815080758
5,1.4043385450374055,1.1824678640477333
6,1.4786037496208992,1.2210291317879955
7,1.5551615142227142,1.2612270564746089
8,1.634082568486407,1.3031363163951997
9,1.71543982291728,1.3468347090602744
10,1.799308436080858,1.3924032688051564
11,1.8857658838812061,1.4399263895833563
12,1.974892030967665,1.4894919532314024
13,2.066769204341692,1.5411914634983563
14,2.1614822692304925,1.5952754848912645
15,2.2591187072972105,1.652107537184956
16,2.359768697258279,1.7118287019644403
17,2.463525197989883,1.7745827914486754
18,2.570484034180468,1.840519474408724
19,2.6807439846338816,1.9097945190935464
20,2.7944068732850513,1.9825700529931753
21,2.911577663019538,2.0590148401050525
22,3.032364552381946,2.139304576240715
23,3.156879075262089,2.2236222029651147
24,3.285236203650549,2.3121582406533947
25,3.4175544535563436,2.405111141215927
26,3.553955994194376,2.5026876609535074
27,3.694566760517387,2.6051032540979513
28,3.8395165692298425,2.7125824875706255
29,3.9889392383650026,2.825359477507973
30,4.142972710545173,2.943678348205216
31,4.301759180036745,3.0677937141087774
32,4.465445223716762,3.1979711856027566
33,4.634181936069199,3.334487899362565
34,4.808125068348106,3.4778739254107958
35,4.987435172002836,3.631587493191724
36,5.172277746540484,3.7971702466990807
37,5.362823391929049,3.9752821964327634
38,5.559247965694213,4.166610847864264
39,5.76173274485195,4.3718889222301565
40,5.9704645928257225,4.593163643942849
41,6.185636131501605,4.832167706255312
42,6.407445918576531,5.089885206796762
43,6.636098630379807,5.367354325493487
44,6.8718052502929154,5.665674089703175
45,7.114783262997644,5.993269576768232
46,7.365256854688447,6.406227003122249
47,7.623457119449858,6.926626884201633
48,7.8896222719857025,7.651006678703339
49,8.163997866895482,8.62473160953186
