,Expected Returns,Standard Deviations
0,0.10722093308324565,0.19633537107875446
1,0.11203394161899682,0.19721225941372478
2,0.116867788898662,0.1981469894234103
3,0.12172256478744359,0.199140216579306
4,0.12659835953678145,0.20019255995856947
5,0.13149526378556375,0.2013046018029826
6,0.13641336856197328,0.20247688724356253
7,0.14135276528534502,0.20370992418855258
8,0.14631354576739142,0.2050041833738214
9,0.15129580221439465,0.20636009857150395
10,0.1562996272283783,0.2077780669533843
11,0.16132511380931858,0.20925844960167755
12,0.1663723553563914,0.21080157216026285
13,0.17144144566987407,0.21240772561834753
14,0.17653247895306,0.2140914333048838
15,0.18164554981352032,0.21588630680941812
16,0.18678075326536225,0.21779395139484492
17,0.19193818473043645,0.21981448155791106
18,0.19711794004061467,0.22194789748057012
19,0.20232011543907502,0.22419409137003063
20,0.20754480758226124,0.22655285427978245
21,0.212792113541854,0.22902388330764686
22,0.21806213080607217,0.2316067890700073
23,0.22335495728199817,0.23430110335303145
24,0.22867069129682238,0.237106286849558
25,0.23400943160018994,0.24002173689259532
26,0.23937127736552388,0.243046795109174
27,0.24475632819204418,0.2461807549225697
28,0.2501646841067986,0.24942286884135423
29,0.2555964455660027,0.2527723554857689
30,0.2610517134574366,0.25622840630296106
31,0.266530589101726,0.2597901919438715
32,0.27203317425475926,0.263456868268863
33,0.27755957110905216,0.26722758196822327
34,0.28310988229582645,0.2711686652356377
35,0.2886842108871035,0.2755372417220441
36,0.29428266039708273,0.28035188055498617
37,0.29990533478461234,0.2856038069776354
38,0.30555233845450847,0.29128332863463247
39,0.31122377626004605,0.29738905766441576
40,0.31691975350436286,0.30401852579442706
41,0.3226403759426031,0.31118806590952336
42,0.3283857497840721,0.318880516543786
43,0.33415598169365857,0.3270784725569038
44,0.33995117879437786,0.3357646028569053
45,0.34577144866873266,0.3457641312679161
46,0.35161689936127716,0.359646315244879
47,0.3574876393800661,0.3773248000753789
48,0.3633837776988602,0.39847745220989317
49,0.36930542375934783,0.42370987383532854
