,Expected Returns,Standard Deviations
0,0.00040266291267713106,0.011066801223582159
1,0.0004198142570384576,0.011068286023323527
2,0.00043696560139978413,0.0110727392309786
3,0.00045411694576111066,0.011080157267464235
4,0.0004712682901224372,0.011090534183598313
5,0.0004884196344837637,0.011103861683879132
6,0.0005055709788450903,0.011120129159466174
7,0.0005227223232064168,0.01113932373005807
8,0.0005398736675677433,0.011161430294285499
9,0.0005570250119290699,0.011186431588164635
10,0.0005741763562903964,0.011214308251092231
11,0.0005913277006517229,0.011245038898806767
12,0.0006084790450130495,0.011278600202692425
13,0.000625630389374376,0.011314966974764184
14,0.0006427817337357026,0.011354856751850434
15,0.0006599330780970291,0.01139996537852389
16,0.0006770844224583556,0.011450302179763247
17,0.0006942357668196822,0.011505798537436947
18,0.0007113871111810087,0.011566380183969788
19,0.0007285384555423352,0.011631967663986154
20,0.0007456897999036618,0.011702476810989959
21,0.0007628411442649883,0.011777819233089949
22,0.0007799924886263148,0.011857902802046275
23,0.0007971438329876414,0.011942632140280383
24,0.0008142951773489679,0.012031909100936005
25,0.0008314465217102944,0.012125633236584514
26,0.000848597866071621,0.012223702252713254
27,0.0008657492104329475,0.012326012442702575
28,0.000882900554794274,0.012432459101562222
29,0.0009000518991556006,0.012542936916310502
30,0.0009172032435169271,0.012657340331237022
31,0.0009343545878782537,0.012775563887156666
32,0.0009515059322395802,0.012897502533774955
33,0.0009686572766009067,0.01302305191506541
34,0.0009858086209622334,0.01315529832588621
35,0.0010029599653235597,0.01330627740090754
36,0.0010201113096848864,0.013476566824326484
37,0.0010372626540462128,0.013665444718155638
38,0.0010544139984075395,0.01387215182274166
39,0.0010715653427688658,0.014096319323836088
40,0.0010887166871301926,0.014342124585910927
41,0.001105868031491519,0.014609927046508897
42,0.0011230193758528456,0.014898540548628228
43,0.001140170720214172,0.015206780203652985
44,0.0011573220645754987,0.015533477696690818
45,0.001174473408936825,0.01591505568322734
46,0.0011916247532981518,0.01646412671623809
47,0.001208776097659478,0.01717297246172351
48,0.0012259274420208049,0.018023210746858365
49,0.0012430787863821312,0.019036333313763084
