AAPL,ADBE,GE,IBM,LLY,MSFT,SNE,T
15.429256439208984,52.099998474121094,19.13603973388672,143.48362731933594,42.23339080810547,28.195615768432617,20.501296997070312,23.26388931274414
15.319146156311035,52.029998779296875,18.97821807861328,140.9944610595703,41.78656768798828,28.62581443786621,20.491676330566406,23.0939884185791
15.128744125366211,51.939998626708984,18.851959228515625,139.6819610595703,41.64589309692383,28.634418487548828,20.71304702758789,22.985240936279297
15.484472274780273,52.43000030517578,19.072912216186523,140.58714294433594,41.927242279052734,28.892547607421875,20.597545623779297,23.148347854614258
15.535244941711426,51.52000045776367,19.199167251586914,139.51600646972656,41.81966781616211,29.185083389282227,20.405046463012695,23.066797256469727
15.340087890625,50.880001068115234,19.01767349243164,138.68626403808594,40.379878997802734,29.133455276489258,20.12592315673828,22.862899780273438
15.32802963256836,51.56999969482422,18.97821807861328,138.8673095703125,40.0323600769043,29.150665283203125,20.087421417236328,22.93766975402832
15.477811813354492,50.81999969482422,18.891414642333984,137.29083251953125,39.42831039428711,28.651626586914062,19.509920120239258,23.107574462890625
15.26170825958252,49.58000183105469,18.67835235595703,134.80917358398438,39.75929641723633,28.402111053466797,18.874670028686523,22.804523468017578
15.440999031066895,49.45000076293945,18.599443435668945,136.7703094482422,39.68482971191406,28.453737258911133,19.009418487548828,23.24532127380371
15.5377836227417,51.16999816894531,19.13603973388672,139.37271118164062,40.669498443603516,29.04741668701172,18.83616828918457,23.52082633972168
15.638381004333496,52.189998626708984,19.254411697387695,140.421142578125,40.446083068847656,29.365772247314453,19.211544036865234,23.555261611938477
15.740878105163574,52.630001068115234,19.23862648010254,141.03221130371094,40.57020568847656,29.641098022460938,19.18267059326172,23.362415313720703
15.824652671813965,51.93000030517578,19.088693618774414,139.28976440429688,40.38816452026367,29.675519943237305,18.96129035949707,23.217775344848633
15.901766777038574,51.90999984741211,19.222841262817383,140.8511505126953,40.470909118652344,29.8045711517334,19.01904296875,23.555261611938477
16.00934410095215,52.06999969482422,19.47536277770996,131.87490844726562,41.124595642089844,30.045486450195312,19.278921127319336,23.72056007385254
16.14864730834961,52.630001068115234,20.161888122558594,131.08287048339844,41.00875473022461,30.079912185668945,18.874670028686523,23.8376522064209
16.544361114501953,53.08000183105469,20.627466201782227,130.38893127441406,41.083229064941406,30.105712890625,18.942045211791992,24.257787704467773
16.497079849243164,53.16999816894531,20.53277587890625,131.98052978515625,41.49695587158203,29.752944946289062,19.04791831970215,24.26467514038086
16.658597946166992,53.060001373291016,20.280256271362305,132.583984375,41.62934875488281,29.04741668701172,18.749542236328125,24.299114227294922
16.879140853881836,54.209999084472656,20.469646453857422,134.1151885986328,41.82793045043945,29.01299476623535,18.422290802001953,23.851425170898438
16.69033432006836,53.810001373291016,20.42230224609375,133.39857482910156,41.91896057128906,30.7424259185791,18.537790298461914,24.237119674682617
16.81471824645996,53.93000030517578,20.5880184173584,133.77574157714844,42.10100173950195,30.604753494262695,18.77842140197754,24.49884796142578
16.395843505859375,54.86000061035156,20.682706832885742,137.37384033203125,41.53832244873047,30.561744689941406,18.749542236328125,24.980976104736328
16.656694412231445,54.099998474121094,20.808969497680664,135.88775634765625,40.71915054321289,30.578950881958008,18.69179344177246,24.97408676147461
16.586883544921875,54.220001220703125,20.627466201782227,135.1787567138672,41.22389602661133,30.467090606689453,16.603166580200195,24.932767868041992
16.502153396606445,54.61000061035156,20.943113327026367,135.19386291503906,41.6872673034668,30.570341110229492,16.12191390991211,24.960309982299805
16.71540069580078,55.38999938964844,20.85630989074707,135.9783477783203,41.712093353271484,30.923107147216797,16.439538955688477,25.10494613647461
16.67414665222168,54.790000915527344,20.84842300415039,134.15289306640625,41.67900085449219,31.525390625,16.218162536621094,24.471302032470703
16.626909255981445,54.880001068115234,21.227197647094727,135.88951110839844,41.77828598022461,32.85042190551758,16.429912567138672,24.67104148864746
16.35784339904785,53.16999816894531,20.990461349487305,136.50381469726562,41.3811149597168,32.265350341796875,16.227785110473633,24.18202781677246
16.615419387817383,54.84000015258789,21.345565795898438,136.4962921142578,41.89414596557617,32.50627136230469,16.112287521362305,24.22334861755371
16.567216873168945,56.18000030517578,21.313997268676758,138.6879119873047,41.60451889038086,32.34278106689453,15.987160682678223,24.126922607421875
16.597862243652344,56.2400016784668,21.345565795898438,138.83201599121094,41.422489166259766,32.1448860168457,16.583913803100586,24.22334861755371
16.617650985717773,57.54999923706055,21.42447280883789,139.19595336914062,42.241397857666016,32.83320999145508,17.267290115356445,24.154468536376953
16.858001708984375,57.16999816894531,21.2982177734375,138.17977905273438,42.64250564575195,32.7127571105957,17.950666427612305,24.216468811035156
16.756813049316406,57.349998474121094,21.46393394470215,138.92295837402344,42.62579345703125,32.557884216308594,17.806289672851562,24.402423858642578
16.553817749023438,56.599998474121094,21.479713439941406,139.89364624023438,42.64250564575195,32.007232666015625,18.01803970336914,24.519512176513672
16.583179473876953,55.77000045776367,21.32977867126465,140.48519897460938,42.56730651855469,31.85118293762207,17.99879264831543,24.60215950012207
16.437952041625977,55.939998626708984,21.274547576904297,140.439697265625,42.341678619384766,32.145938873291016,17.83516502380371,24.381763458251953
16.63393211364746,56.22999954223633,21.235090255737305,139.6357879638672,42.19126510620117,32.42335510253906,17.950666427612305,24.31287956237793
16.59115982055664,56.40999984741211,21.36923599243164,137.4897003173828,42.80963897705078,32.57072448730469,17.613786697387695,24.395540237426758
16.716920852661133,56.95000076293945,21.093050003051758,135.69996643066406,42.90156173706055,32.631412506103516,17.48866844177246,24.36109733581543
